X,Y,Z
0.1413865,0.907702,1.088512
0.1529879,0.9077024,1.146718
0.1648069,0.9077063,1.206538
0.1767832,0.9077133,1.267989
0.1888825,0.9077232,1.331077
0.2010553,0.9077351,1.395809
0.2132281,0.9077482,1.4622
0.2253509,0.9077622,1.530254
0.2373944,0.9077763,1.599971
0.2493195,0.9077899,1.671353
0.2610952,0.9078025,1.744399
0.2726894,0.9078134,1.819108
0.2840461,0.9078227,1.89548
0.2951417,0.9078298,1.973512
0.3059461,0.9078347,2.0532
0.3164532,0.9078377,2.134539
0.326773,0.9078394,2.217517
0.3369715,0.9078397,2.302127
0.3470979,0.907839,2.388365
0.3571914,0.9078375,2.476224
0.3672851,0.9078352,2.565702
0.3774073,0.9078326,2.656793
0.3875824,0.9078295,2.749496
0.3978316,0.9078262,2.843807
0.4081731,0.9078228,2.939723
0.4186226,0.9078196,3.037243
0.4398959,0.9078137,3.237088
0.4758365,0.9093643,3.548856
0.5373248,0.909447,3.983971
0.6193255,0.908997,4.43996
0.643276,0.9088885,4.557111
0.6941826,0.9086949,4.795597
0.7210213,0.9086245,4.917009
0.7485963,0.9085749,5.039934
0.7767441,0.9085441,5.16441
0.805384,0.9085311,5.290452
0.8344111,0.9085314,5.418079
0.8636991,0.908541,5.547314
0.8931566,0.9085569,5.678171
0.9226512,0.908576,5.810671
0.952005,0.9085951,5.944839
0.9812496,0.9086152,6.080658
1.039738,0.9086499,6.357182
1.06908,0.9086621,6.497879
1.09832,0.9086688,6.64023
1.127251,0.9086713,6.784256
1.15566,0.9096912,6.93028
1.183452,0.910501,7.077754
1.210722,0.911103,7.226765
1.237276,0.911518,7.377403
1.263039,0.9117827,7.529688
1.287885,0.9119311,7.683631
1.312154,0.9114098,7.838767
1.334682,0.9109626,7.995976
1.355912,0.9106696,8.154854
1.376784,0.9088936,8.31465
1.411799,0.9066322,8.640193
1.42652,0.9071832,8.805175
1.438896,0.9072183,8.971647
1.449893,0.9069268,9.139048
1.458322,0.9065525,9.308204
1.465377,0.9062968,9.478329
1.46983,0.905844,9.650315
1.47247,0.9067322,9.823601
1.47288,0.9069405,9.998396
1.471859,0.906926,10.17417
1.468343,0.9066231,10.35163
1.455546,0.9059948,10.71026
1.446216,0.905917,10.89137
1.434059,0.9055251,11.07419
1.419974,0.9086297,11.25814
1.403239,0.9089613,11.44358
1.384757,0.9105738,11.62994
1.363708,0.9109389,11.81753
1.340899,0.9114303,12.0059
1.315175,0.9111486,12.19558
1.287526,0.9112809,12.38603
1.256742,0.910647,12.57774
1.223932,0.9106182,12.77014
1.187755,0.9099113,12.96376
1.149723,0.910004,13.15806
1.109152,0.9083005,13.35356
1.021611,0.9062141,13.74757
0.9738246,0.9053496,13.94647
0.924088,0.9060382,14.14664
0.8722487,0.9061669,14.34816
0.7635055,0.907329,14.75493
0.7067471,0.9071294,14.95981
0.6481295,0.9069384,15.16616
0.5880458,0.9072912,15.3739
0.5265577,0.9075165,15.583
0.4638698,0.9077221,15.79346
0.4000437,0.9079128,16.00529
0.3352615,0.9080887,16.21853
0.2695686,0.9082456,16.43319
0.203003,0.9083807,16.64926
0.1355288,0.9084924,16.86673
0.06714004,0.9085811,17.0856
-0.002166286,0.908649,17.30586
-0.0723887,0.9086986,17.52751
-0.1435222,0.9087328,17.75054
-0.2155589,0.9087542,17.97497
-0.2884887,0.9087657,18.20078
-0.3622998,0.9087695,18.42799
-0.4368371,0.9087691,18.65664
-0.511987,0.9087656,18.88677
-0.5876013,0.9087605,19.11841
-0.6634101,0.9087558,19.35164
-0.73916,0.9087505,19.58651
-0.8147636,0.9087414,19.82303
-0.8900271,0.908729,20.06124
-0.9646574,0.9087147,20.30115
-1.03841,0.9086956,20.54273
-1.111148,0.9086663,20.7859
-1.182559,0.9086266,21.03063
-1.252376,0.9085725,21.27684
-1.320431,0.9084992,21.52442
-1.387156,0.9080323,21.7729
-1.451211,0.9075195,22.02291
-1.512665,0.9079637,22.27402
-1.571185,0.9080521,22.52614
-1.627609,0.9074804,22.77875
-1.680827,0.9068659,23.0323
-1.731727,0.9058471,23.28623
-1.77899,0.9050021,23.54099
-1.823544,0.9060311,23.79597
-1.864532,0.906961,24.05152
-1.903426,0.9074351,24.30704
-1.93909,0.906848,24.56263
-1.971502,0.9068404,24.81816
-2.000146,0.9066477,25.07383
-2.026519,0.9068173,25.32932
-2.049821,0.9054139,25.58492
-2.068921,0.9062219,25.8405
-2.084163,0.9073498,26.09591
-2.096975,0.9080574,26.35104
-2.107351,0.9069631,26.60588
-2.113891,0.9054855,26.86021
-2.116669,0.9054968,27.11393
-2.114977,0.9064711,27.36716
-2.110849,0.9074643,27.62001
-2.103397,0.9072035,27.87226
-2.093396,0.9065912,28.12407
-2.079377,0.9057821,28.37536
-2.065076,0.9045808,28.62665
-2.049603,0.9036354,28.87799
-2.033212,0.9032023,29.12934
-2.015894,0.9031228,29.38062
-1.997836,0.9032745,29.63181
-1.979212,0.9035689,29.88289
-1.960282,0.9039388,30.13383
-1.941101,0.9043393,30.38462
-1.921964,0.9047335,30.63525
-1.903125,0.9051016,30.88571
-1.884743,0.9054312,31.13598
-1.86702,0.9057146,31.38606
