ParticipantID,Block,TrialIndex,Scene,Event,TimeAbs,TrialTimeRel,X,Y,Z,LaneDeviationAbs,LaneDeviationCount,SpeedMPH,Deceleration,TrialEndRel,SurveyResponse,SurveyResponseCorrect,SurveyRT,BrakeInput,ThrottleInput,SteeringInput,Car2MergeTime,MergeRTSteer,MergeRTBrake,MergeRTThrottle,Collision,Car2DecelStartRel,Car2CollisionRel,TimeToCollision
sampletest2b,UNKNOWN,-1,SubBlock,Practice,4.168,-1,,,,,0,0,,-1,,,-1,0,0,0,,,,,0,,,
sampletest2b,UNKNOWN,-1,SubBlock,Practice,4.185,-1,,,,,0,0,,-1,,,-1,0,0,0,,,,,0,,,
sampletest2b,UNKNOWN,-1,SubBlock,Practice,4.202,-1,,,,,0,0,,-1,,,-1,0,0,0,,,,,0,,,
sampletest2b,UNKNOWN,-1,SubBlock,Practice,4.219,-1,,,,,0,0,,-1,,,-1,0,0,0,,,,,0,,,
sampletest2b,UNKNOWN,-1,SubBlock,Practice,4.235,-1,,,,,0,0,,-1,,,-1,0,0,0,,,,,0,,,
sampletest2b,UNKNOWN,-1,SubBlock,Practice,4.252,-1,,,,,0,0,,-1,,,-1,0,0,0,,,,,0,,,
sampletest2b,UNKNOWN,-1,SubBlock,Practice,4.268,-1,,,,,0,0,,-1,,,-1,0,0,0,,,,,0,,,
sampletest2b,UNKNOWN,-1,SubBlock,Practice,4.285,-1,,,,,0,0,,-1,,,-1,0,0,0,,,,,0,,,
sampletest2b,UNKNOWN,-1,SubBlock,Practice,4.302,-1,,,,,0,0,,-1,,,-1,0,0,0,,,,,0,,,
sampletest2b,UNKNOWN,-1,SubBlock,Practice,4.318,-1,,,,,0,0,,-1,,,-1,0,0,0,,,,,0,,,
sampletest2b,UNKNOWN,-1,SubBlock,Practice,4.336,-1,,,,,0,0,,-1,,,-1,0,0,0,,,,,0,,,
sampletest2b,UNKNOWN,-1,SubBlock,Practice,4.352,-1,,,,,0,0,,-1,,,-1,0,0,0,,,,,0,,,
