ParticipantID,Block,BlockStartAbs,BlockTimeRel,TrialIndex,Scene,Event,Expectancy,SignalColor,MergeSide,TimeAbs,TrialTimeRel,X,Y,Z,LaneDeviation,SpeedMPH,TrialEnded,TrialEndReason,TrialEndAbs,TrialEndRel,SurveyQuestion,SurveyResponse,SurveyRT
99,Night,8.357,0.137,0,U_Amb_R,,,,,8.494,0.422,0,1.045,-0.002,,2.194,0,,-1,-1,PostTrialQuestion,,-1
99,Night,8.357,0.145,0,U_Amb_R,,,,,8.502,0.429,0,1.038,-0.002,,2.56,0,,-1,-1,PostTrialQuestion,,-1
99,Night,8.357,0.244,0,U_Amb_R,,,,,8.601,0.528,0,0.881,-0.002,,3.823,0,,-1,-1,PostTrialQuestion,,-1
99,Night,8.357,0.35,0,U_Amb_R,,,,,8.707,0.634,0,0.846,-0.002,,0.164,0,,-1,-1,PostTrialQuestion,,-1
99,Night,8.357,0.448,0,U_Amb_R,,,,,8.805,0.732,0,0.855,-0.002,,0.23,0,,-1,-1,PostTrialQuestion,,-1
99,Night,8.357,0.547,0,U_Amb_R,,,,,8.904,0.831,0,0.864,-0.002,,0.161,0,,-1,-1,PostTrialQuestion,,-1
99,Night,8.357,0.644,0,U_Amb_R,,,,,9.001,0.929,0,0.869,-0.001,,0.087,0,,-1,-1,PostTrialQuestion,,-1
99,Night,8.357,0.744,0,U_Amb_R,,,,,9.101,1.028,0,0.871,0.007,,0.336,0,,-1,-1,PostTrialQuestion,,-1
99,Night,8.357,0.847,0,U_Amb_R,,,,,9.204,1.131,0,0.87,0.032,,0.783,0,,-1,-1,PostTrialQuestion,,-1
99,Night,8.357,0.946,0,U_Amb_R,,,,,9.303,1.231,0.001,0.869,0.081,,1.459,0,,-1,-1,PostTrialQuestion,,-1
99,Night,8.357,1.048,0,U_Amb_R,,,,,9.405,1.332,0.006,0.868,0.162,,2.129,0,,-1,-1,PostTrialQuestion,,-1
99,Night,8.357,1.15,0,U_Amb_R,,,,,9.507,1.434,0.01,0.867,0.274,,2.802,0,,-1,-1,PostTrialQuestion,,-1
99,Night,8.357,1.247,0,U_Amb_R,,,,,9.604,1.531,0.011,0.867,0.411,,3.473,0,,-1,-1,PostTrialQuestion,,-1
99,Night,8.357,1.35,0,U_Amb_R,,,,,9.707,1.634,0.012,0.867,0.586,,4.145,0,,-1,-1,PostTrialQuestion,,-1
99,Night,8.357,1.45,0,U_Amb_R,,,,,9.807,1.734,0.013,0.868,0.787,,4.817,0,,-1,-1,PostTrialQuestion,,-1
99,Night,8.357,1.549,0,U_Amb_R,,,,,9.906,1.834,0.014,0.868,1.015,,5.489,0,,-1,-1,PostTrialQuestion,,-1
99,Night,8.357,1.649,0,U_Amb_R,,,,,10.006,1.933,0.015,0.868,1.277,,6.161,0,,-1,-1,PostTrialQuestion,,-1
99,Night,8.357,1.751,0,U_Amb_R,,,,,10.108,2.035,0.019,0.868,1.572,,6.828,0,,-1,-1,PostTrialQuestion,,-1
99,Night,8.357,1.844,0,U_Amb_R,,,,,10.201,2.128,0.033,0.868,1.867,,7.483,0,,-1,-1,PostTrialQuestion,,-1
99,Night,8.357,1.952,0,U_Amb_R,,,,,10.309,2.236,0.056,0.868,2.245,,8.157,0,,-1,-1,PostTrialQuestion,,-1
99,Night,8.357,2.05,0,U_Amb_R,,,,,10.407,2.334,0.07,0.868,2.617,,8.826,0,,-1,-1,PostTrialQuestion,,-1
99,Night,8.357,2.15,0,U_Amb_R,,,,,10.506,2.434,0.082,0.868,3.026,,9.497,0,,-1,-1,PostTrialQuestion,,-1
99,Night,8.357,2.248,0,U_Amb_R,,,,,10.605,2.532,0.093,0.868,3.46,,10.167,0,,-1,-1,PostTrialQuestion,,-1
99,Night,8.357,2.347,0,U_Amb_R,,,,,10.704,2.632,0.106,0.868,3.925,,10.838,0,,-1,-1,PostTrialQuestion,,-1
99,Night,8.357,2.449,0,U_Amb_R,,,,,10.806,2.733,0.119,0.868,4.432,,11.51,0,,-1,-1,PostTrialQuestion,,-1
99,Night,8.357,2.458,0,U_Amb_R,,,,,10.815,2.742,0.119,0.868,4.432,,11.51,1,TrialEnd,10.815,2.742,PostTrialQuestion,,-1
99,Night,8.357,2.549,0,U_Amb_R,,,,,10.906,2.833,0.119,0.868,4.432,,11.51,1,TrialEnd,10.815,2.742,PostTrialQuestion,,-1
99,Night,8.357,2.645,0,U_Amb_R,,,,,11.002,2.929,0.119,0.868,4.432,,11.51,1,TrialEnd,10.815,2.742,PostTrialQuestion,,-1
99,Night,8.357,2.748,0,U_Amb_R,,,,,11.105,3.032,0.119,0.868,4.432,,11.51,1,TrialEnd,10.815,2.742,PostTrialQuestion,,-1
99,Night,8.357,2.845,0,U_Amb_R,,,,,11.202,3.129,0.119,0.868,4.432,,11.51,1,TrialEnd,10.815,2.742,PostTrialQuestion,,-1
99,Night,8.357,2.946,0,U_Amb_R,,,,,11.303,3.23,0.119,0.868,4.432,,11.51,1,TrialEnd,10.815,2.742,PostTrialQuestion,,-1
99,Night,8.357,3.048,0,U_Amb_R,,,,,11.405,3.332,0.119,0.868,4.432,,11.51,1,TrialEnd,10.815,2.742,PostTrialQuestion,,-1
99,Night,8.357,3.144,0,U_Amb_R,,,,,11.501,3.428,0.119,0.868,4.432,,11.51,1,TrialEnd,10.815,2.742,PostTrialQuestion,,-1
99,Night,8.357,3.248,0,U_Amb_R,,,,,11.605,3.533,0.119,0.868,4.432,,11.51,1,TrialEnd,10.815,2.742,PostTrialQuestion,,-1
