ParticipantID,Block,TrialIndex,Scene,Event,TimeAbs,TrialTimeRel,X,Y,Z,LaneDeviation,SpeedMPH,TrialEnded,TrialEndReason,TrialEndAbs,TrialEndRel,SurveyResponse,SurveyResponseCorrect,SurveyRT,BrakeInput,ThrottleInput,SteeringInput,Car2Merge,Collision,Car2DecelStartAbs,Car2CollisionAbs,TimeToCollision
UNKNOWN,0,-1,SubBlock,Practice,6.415,-1,,,,,0,0,,-1,-1,,,-1,0,0,0,0,0,,,
UNKNOWN,0,-1,SubBlock,Practice,6.515,-1,,,,,0,0,,-1,-1,,,-1,0,0,0,0,0,,,
UNKNOWN,0,-1,SubBlock,Practice,6.614,-1,,,,,0,0,,-1,-1,,,-1,0,0,0,0,0,,,
UNKNOWN,0,-1,SubBlock,Practice,6.714,-1,,,,,0,0,,-1,-1,,,-1,0,0,0,0,0,,,
UNKNOWN,0,-1,SubBlock,Practice,6.815,-1,,,,,0,0,,-1,-1,,,-1,0,0,0,0,0,,,
UNKNOWN,0,-1,SubBlock,Practice,6.915,-1,,,,,0,0,,-1,-1,,,-1,0,0,0,0,0,,,
UNKNOWN,0,-1,SubBlock,Practice,7.015,-1,,,,,0,0,,-1,-1,,,-1,0,0,0,0,0,,,
UNKNOWN,0,-1,SubBlock,Practice,7.115,-1,,,,,0,0,,-1,-1,,,-1,0,0,0,0,0,,,
UNKNOWN,0,-1,SubBlock,Practice,7.216,-1,,,,,0,0,,-1,-1,,,-1,0,0,0,0,0,,,
UNKNOWN,0,-1,SubBlock,Practice,7.314,-1,,,,,0,0,,-1,-1,,,-1,0,0,0,0,0,,,
UNKNOWN,0,-1,SubBlock,Practice,7.415,-1,,,,,0,0,,-1,-1,,,-1,0,0,0,0,0,,,
UNKNOWN,0,-1,SubBlock,Practice,7.514,-1,,,,,0,0,,-1,-1,,,-1,0,0,0,0,0,,,
UNKNOWN,0,-1,SubBlock,Practice,7.615,-1,,,,,0,0,,-1,-1,,,-1,0,0,0,0,0,,,
UNKNOWN,0,-1,SubBlock,Practice,7.714,-1,,,,,0,0,,-1,-1,,,-1,0,0,0,0,0,,,
