ParticipantID,Block,BlockStartAbs,BlockTimeRel,TrialIndex,Scene,Event,Expectancy,SignalColor,MergeSide,TimeAbs,TrialTimeRel,X,Y,Z,LaneDeviation,SpeedMPH,TrialEnded,TrialEndReason,TrialEndAbs,TrialEndRel,SurveyResponse,SurveyResponseCorrect,SurveyRT,BrakeInput,ThrottleInput,SteeringInput,Car2Marge,Collision,Car2DecelStartAbs,Car2CollisionAbs,TimeToCollision
P000,Day,6.039,3.162,0,E_Amb_L,Practice,Expected,Red,Right,9.202,3.578,0,0.868,0.315,,3.134,0,,-1,-1,,,-1,50,50,0,0,0,,,
P000,Day,6.039,3.272,0,E_Amb_L,Practice,Expected,Red,Right,9.311,3.687,0,0.868,0.484,,3.806,0,,-1,-1,,,-1,50,50,0,0,0,,,
P000,Day,6.039,3.364,0,E_Amb_L,Practice,Expected,Red,Right,9.403,3.779,0,0.868,0.653,,4.478,0,,-1,-1,,,-1,50,50,0,0,0,,,
P000,Day,6.039,3.467,0,E_Amb_L,Practice,Expected,Red,Right,9.506,3.882,0,0.868,0.873,,5.15,0,,-1,-1,,,-1,50,50,0,0,0,,,
P000,Day,6.039,3.571,0,E_Amb_L,Practice,Expected,Red,Right,9.61,3.987,0,0.868,1.131,,5.822,0,,-1,-1,,,-1,50,50,0,0,0,,,
P000,Day,6.039,3.665,0,E_Amb_L,Practice,Expected,Red,Right,9.704,4.08,0,0.868,1.387,,6.493,0,,-1,-1,,,-1,50,50,0,0,0,,,
P000,Day,6.039,3.77,0,E_Amb_L,Practice,Expected,Red,Right,9.809,4.185,0,0.868,1.707,,7.165,0,,-1,-1,,,-1,50,50,0,0,0,,,
P000,Day,6.039,3.865,0,E_Amb_L,Practice,Expected,Red,Right,9.904,4.281,0,0.868,2.026,,7.836,0,,-1,-1,,,-1,50,50,0,0,0,,,
P000,Day,6.039,3.969,0,E_Amb_L,Practice,Expected,Red,Right,10.008,4.384,0,0.868,2.404,,8.507,0,,-1,-1,,,-1,50,50,0,0,0,,,
P000,Day,6.039,4.071,0,E_Amb_L,Practice,Expected,Red,Right,10.111,4.487,0,0.868,2.813,,9.178,0,,-1,-1,,,-1,50,50,0,0,0,,,
P000,Day,6.039,4.165,0,E_Amb_L,Practice,Expected,Red,Right,10.204,4.58,0,0.868,3.208,,9.849,0,,-1,-1,,,-1,50,50,0,0,0,,,
P000,Day,6.039,4.268,0,E_Amb_L,Practice,Expected,Red,Right,10.308,4.684,0,0.868,3.678,,10.519,0,,-1,-1,,,-1,50,50,0,0,0,,,
P000,Day,6.039,4.367,0,E_Amb_L,Practice,Expected,Red,Right,10.406,4.783,0,0.868,4.157,,11.19,0,,-1,-1,,,-1,50,50,0,0,0,,,
P000,Day,6.039,4.469,0,E_Amb_L,Practice,Expected,Red,Right,10.509,4.885,0,0.868,4.684,,11.863,0,,-1,-1,,,-1,50,50,0,0,0,,,
