ParticipantID,Block,TrialIndex,TrialType,Expectancy,SignalColor,MergeSide,TimeAbsolute,TimeRelative,X,Y,Z,LaneDeviation,SpeedMPH
P000,Day,0,Practice,Unexpected,Amber,Left,34.71,33.41,-1.8684,0.8686,725.4694,-1.8684,57.17
P000,Day,0,Practice,Unexpected,Amber,Left,34.82,33.52,-1.9560,0.8678,728.2207,-1.9560,57.15
P000,Day,0,Practice,Unexpected,Amber,Left,34.92,33.63,-2.0410,0.8677,730.8921,-2.0410,57.14
P000,Day,0,Practice,Unexpected,Amber,Left,35.03,33.73,-2.1281,0.8679,733.6287,-2.1281,57.13
P000,Day,0,Practice,Unexpected,Amber,Left,35.13,33.83,-2.2102,0.8681,736.2078,-2.2102,57.11
P000,Day,0,Practice,Unexpected,Amber,Left,35.23,33.94,-2.2954,0.8682,738.8876,-2.2954,57.10
P000,Day,0,Practice,Unexpected,Amber,Left,35.39,34.10,-2.4236,0.8682,742.9192,-2.4236,57.08
P000,Day,0,Practice,Unexpected,Amber,Left,35.52,34.22,-2.5240,0.8682,746.0778,-2.5240,57.06
P000,Day,0,Practice,Unexpected,Amber,Left,35.62,34.32,-2.6078,0.8681,748.7115,-2.6078,57.05
P000,Day,0,Practice,Unexpected,Amber,Left,35.72,34.43,-2.6934,0.8681,751.4056,-2.6934,57.04
P000,Day,0,Practice,Unexpected,Amber,Left,35.84,34.54,-2.7854,0.8681,754.2999,-2.7854,57.02
P000,Day,0,Practice,Unexpected,Amber,Left,35.95,34.65,-2.8728,0.8681,757.0491,-2.8728,57.01
P000,Day,0,Practice,Unexpected,Amber,Left,36.05,34.76,-2.9603,0.8681,759.8036,-2.9603,56.99
P000,Day,0,Practice,Unexpected,Amber,Left,36.17,34.87,-3.0523,0.8681,762.6968,-3.0523,56.98
P000,Day,0,Practice,Unexpected,Amber,Left,36.27,34.98,-3.1370,0.8681,765.3620,-3.1370,56.97
P000,Day,0,Practice,Unexpected,Amber,Left,36.38,35.08,-3.2217,0.8681,768.0283,-3.2217,56.95
P000,Day,0,Practice,Unexpected,Amber,Left,36.48,35.19,-3.3063,0.8681,770.6896,-3.3063,56.94
P000,Day,0,Practice,Unexpected,Amber,Left,36.59,35.29,-3.3906,0.8681,773.3450,-3.3906,56.92
P000,Day,0,Practice,Unexpected,Amber,Left,36.69,35.40,-3.4747,0.8681,775.9915,-3.4747,56.91
P000,Day,0,Practice,Unexpected,Amber,Left,36.80,35.50,-3.5599,0.8681,778.6714,-3.5599,56.90
P000,Day,0,Practice,Unexpected,Amber,Left,36.90,35.61,-3.6468,0.8681,781.4059,-3.6468,56.88
P000,Day,0,Practice,Unexpected,Amber,Left,37.01,35.72,-3.7343,0.8681,784.1622,-3.7343,56.87
P000,Day,0,Practice,Unexpected,Amber,Left,37.12,35.82,-3.8195,0.8681,786.8433,-3.8195,56.86
P000,Day,0,Practice,Unexpected,Amber,Left,37.23,35.93,-3.9099,0.8693,789.6901,-3.9099,56.84
P000,Day,0,Practice,Unexpected,Amber,Left,37.34,36.04,-3.9951,0.8705,792.3701,-3.9951,56.83
P000,Day,0,Practice,Unexpected,Amber,Left,37.44,36.15,-4.0816,0.8709,795.0922,-4.0816,56.82
P000,Day,0,Practice,Unexpected,Amber,Left,37.56,36.26,-4.1749,0.8687,798.0318,-4.1749,56.80
P000,Day,0,Practice,Unexpected,Amber,Left,37.67,36.37,-4.2623,0.8677,800.7835,-4.2623,56.79
P000,Day,0,Practice,Unexpected,Amber,Left,37.77,36.48,-4.3490,0.8676,803.5118,-4.3490,56.77
P000,Day,0,Practice,Unexpected,Amber,Left,37.87,36.58,-4.4302,0.8678,806.0679,-4.4302,56.76
P000,Day,0,Practice,Unexpected,Amber,Left,37.98,36.69,-4.5185,0.8681,808.8491,-4.5185,56.75
P000,Day,0,Practice,Unexpected,Amber,Left,38.09,36.80,-4.6037,0.8682,811.5321,-4.6037,56.73
P000,Day,0,Practice,Unexpected,Amber,Left,38.20,36.90,-4.6886,0.8682,814.2056,-4.6886,56.72
P000,Day,0,Practice,Unexpected,Amber,Left,38.30,37.01,-4.7732,0.8682,816.8687,-4.7732,56.71
P000,Day,0,Practice,Unexpected,Amber,Left,38.41,37.11,-4.8593,0.8682,819.5796,-4.8593,56.69
P000,Day,0,Practice,Unexpected,Amber,Left,38.54,37.24,-4.9620,0.8681,822.8142,-4.9620,56.68
P000,Day,0,Practice,Unexpected,Amber,Left,38.64,37.35,-5.0467,0.8681,825.4818,-5.0467,56.66
P000,Day,0,Practice,Unexpected,Amber,Left,38.75,37.46,-5.1346,0.8681,828.2473,-5.1346,56.65
P000,Day,0,Practice,Unexpected,Amber,Left,38.86,37.57,-5.2228,0.8681,831.0251,-5.2228,56.64
P000,Day,0,Practice,Unexpected,Amber,Left,38.97,37.67,-5.3072,0.8681,833.6848,-5.3072,56.62
P000,Day,0,Practice,Unexpected,Amber,Left,39.07,37.78,-5.3934,0.8681,836.3982,-5.3934,56.61
P000,Day,0,Practice,Unexpected,Amber,Left,39.18,37.88,-5.4791,0.8681,839.0985,-5.4791,56.59
P000,Day,0,Practice,Unexpected,Amber,Left,39.30,38.00,-5.5754,0.8681,842.1305,-5.5754,56.58
P000,Day,0,Practice,Unexpected,Amber,Left,39.40,38.11,-5.6591,0.8681,844.7661,-5.6591,56.57
P000,Day,0,Practice,Unexpected,Amber,Left,39.51,38.21,-5.7421,0.8681,847.3804,-5.7421,56.55
P000,Day,0,Practice,Unexpected,Amber,Left,39.61,38.32,-5.8277,0.8681,850.0759,-5.8277,56.54
P000,Day,0,Practice,Unexpected,Amber,Left,39.73,38.43,-5.9188,0.8681,852.9465,-5.9188,56.52
P000,Day,0,Practice,Unexpected,Amber,Left,39.83,38.54,-6.0035,0.8681,855.6127,-6.0035,56.51
P000,Day,0,Practice,Unexpected,Amber,Left,39.94,38.64,-6.0875,0.8681,858.2617,-6.0875,56.50
P000,Day,0,Practice,Unexpected,Amber,Left,40.04,38.75,-6.1714,0.8681,860.9022,-6.1714,56.48
