ParticipantID,Block,BlockStartAbs,BlockTimeRel,TrialIndex,Scene,Event,Expectancy,SignalColor,MergeSide,TimeAbs,TrialTimeRel,X,Y,Z,LaneDeviation,SpeedMPH,TrialEnded,TrialEndReason,TrialEndAbs,TrialEndRel,SurveyResponse,SurveyResponseCorrect,SurveyRT,BrakeInput,SteeringInput
UNKNOWN,0,3.365,12.036,-1,SubBlock,,,,,15.401,-1,,,,,0,0,,-1,-1,,,-1,,
UNKNOWN,0,3.365,12.138,-1,SubBlock,,,,,15.503,-1,,,,,0,0,,-1,-1,,,-1,,
UNKNOWN,0,3.365,12.236,-1,SubBlock,,,,,15.601,-1,,,,,0,0,,-1,-1,,,-1,,
UNKNOWN,0,3.365,12.337,-1,SubBlock,,,,,15.702,-1,,,,,0,0,,-1,-1,,,-1,,
UNKNOWN,0,3.365,12.436,-1,SubBlock,,,,,15.801,-1,,,,,0,0,,-1,-1,,,-1,,
UNKNOWN,0,3.365,12.538,-1,SubBlock,,,,,15.903,-1,,,,,0,0,,-1,-1,,,-1,,
UNKNOWN,0,3.365,12.636,-1,SubBlock,,,,,16.001,-1,,,,,0,0,,-1,-1,,,-1,,
UNKNOWN,0,3.365,12.736,-1,SubBlock,,,,,16.101,-1,,,,,0,0,,-1,-1,,,-1,,
UNKNOWN,0,3.365,12.836,-1,SubBlock,,,,,16.201,-1,,,,,0,0,,-1,-1,,,-1,,
UNKNOWN,0,3.365,12.937,-1,SubBlock,,,,,16.302,-1,,,,,0,0,,-1,-1,,,-1,,
UNKNOWN,0,3.365,13.037,-1,SubBlock,,,,,16.402,-1,,,,,0,0,,-1,-1,,,-1,,
UNKNOWN,0,3.365,13.136,-1,SubBlock,,,,,16.501,-1,,,,,0,0,,-1,-1,,,-1,,
UNKNOWN,0,3.365,13.236,-1,SubBlock,,,,,16.601,-1,,,,,0,0,,-1,-1,,,-1,,
UNKNOWN,0,3.365,13.335,-1,SubBlock,,,,,16.7,-1,,,,,0,0,,-1,-1,,,-1,,
UNKNOWN,0,3.365,13.437,-1,SubBlock,,,,,16.801,-1,,,,,0,0,,-1,-1,,,-1,,
UNKNOWN,0,3.365,13.536,-1,SubBlock,,,,,16.901,-1,,,,,0,0,,-1,-1,,,-1,,
UNKNOWN,0,3.365,13.636,-1,SubBlock,,,,,17.001,-1,,,,,0,0,,-1,-1,,,-1,,
UNKNOWN,0,3.365,13.737,-1,SubBlock,,,,,17.102,-1,,,,,0,0,,-1,-1,,,-1,,
UNKNOWN,0,3.365,13.837,-1,SubBlock,,,,,17.202,-1,,,,,0,0,,-1,-1,,,-1,,
UNKNOWN,0,3.365,13.937,-1,SubBlock,,,,,17.302,-1,,,,,0,0,,-1,-1,,,-1,,
UNKNOWN,0,3.365,14.036,-1,SubBlock,,,,,17.401,-1,,,,,0,0,,-1,-1,,,-1,,
UNKNOWN,0,3.365,14.137,-1,SubBlock,,,,,17.502,-1,,,,,0,0,,-1,-1,,,-1,,
UNKNOWN,0,3.365,14.237,-1,SubBlock,,,,,17.602,-1,,,,,0,0,,-1,-1,,,-1,,
UNKNOWN,0,3.365,14.336,-1,SubBlock,,,,,17.701,-1,,,,,0,0,,-1,-1,,,-1,,
UNKNOWN,0,3.365,14.436,-1,SubBlock,,,,,17.801,-1,,,,,0,0,,-1,-1,,,-1,,
UNKNOWN,0,3.365,14.536,-1,SubBlock,,,,,17.901,-1,,,,,0,0,,-1,-1,,,-1,,
UNKNOWN,0,3.365,14.637,-1,SubBlock,,,,,18.002,-1,,,,,0,0,,-1,-1,,,-1,,
4,Day,3.365,14.745,0,SubBlock,,,,,18.11,0,,,,,0,0,,-1,-1,,,-1,,
