ParticipantID,Block,TrialIndex,Scene,Event,TimeAbs,TrialTimeRel,X,Y,Z,LaneDeviation,SpeedMPH,TrialEndRel,SurveyResponse,SurveyResponseCorrect,SurveyRT,BrakeInput,ThrottleInput,SteeringInput,Car2Merge,MergeRTSteer,MergeRTBrake,MergeRTThrottle,Collision,Car2DecelStartRel,Car2CollisionAbs,TimeToCollision
UNKNOWN,0,-1,SubBlock,Practice,5.904,-1,,,,,0,-1,,,-1,0,0,0,0,,,,0,,,
UNKNOWN,0,-1,SubBlock,Practice,6.004,-1,,,,,0,-1,,,-1,0,0,0,0,,,,0,,,
UNKNOWN,0,-1,SubBlock,Practice,6.104,-1,,,,,0,-1,,,-1,0,0,0,0,,,,0,,,
UNKNOWN,0,-1,SubBlock,Practice,6.204,-1,,,,,0,-1,,,-1,0,0,0,0,,,,0,,,
UNKNOWN,0,-1,SubBlock,Practice,6.304,-1,,,,,0,-1,,,-1,0,0,0,0,,,,0,,,
UNKNOWN,0,-1,SubBlock,Practice,6.404,-1,,,,,0,-1,,,-1,0,0,0,0,,,,0,,,
UNKNOWN,0,-1,SubBlock,Practice,6.504,-1,,,,,0,-1,,,-1,0,0,0,0,,,,0,,,
UNKNOWN,0,-1,SubBlock,Practice,6.604,-1,,,,,0,-1,,,-1,0,0,0,0,,,,0,,,
UNKNOWN,0,-1,SubBlock,Practice,6.704,-1,,,,,0,-1,,,-1,0,0,0,0,,,,0,,,
UNKNOWN,0,-1,SubBlock,Practice,6.804,-1,,,,,0,-1,,,-1,0,0,0,0,,,,0,,,
UNKNOWN,0,-1,SubBlock,Practice,6.904,-1,,,,,0,-1,,,-1,0,0,0,0,,,,0,,,
UNKNOWN,0,-1,SubBlock,Practice,7.004,-1,,,,,0,-1,,,-1,0,0,0,0,,,,0,,,
UNKNOWN,0,-1,SubBlock,Practice,7.104,-1,,,,,0,-1,,,-1,0,0,0,0,,,,0,,,
UNKNOWN,0,-1,SubBlock,Practice,7.204,-1,,,,,0,-1,,,-1,0,0,0,0,,,,0,,,
UNKNOWN,0,-1,SubBlock,Practice,7.303,-1,,,,,0,-1,,,-1,0,0,0,0,,,,0,,,
UNKNOWN,0,-1,SubBlock,Practice,7.404,-1,,,,,0,-1,,,-1,0,0,0,0,,,,0,,,
UNKNOWN,0,-1,SubBlock,Practice,7.504,-1,,,,,0,-1,,,-1,0,0,0,0,,,,0,,,
UNKNOWN,0,-1,SubBlock,Practice,7.603,-1,,,,,0,-1,,,-1,0,0,0,0,,,,0,,,
UNKNOWN,0,-1,SubBlock,Practice,7.704,-1,,,,,0,-1,,,-1,0,0,0,0,,,,0,,,
UNKNOWN,0,-1,SubBlock,Practice,7.804,-1,,,,,0,-1,,,-1,0,0,0,0,,,,0,,,
UNKNOWN,0,-1,SubBlock,Practice,9.19,-1,,,,,0,-1,,,-1,0,0,0,0,,,,0,,,
UNKNOWN,0,-1,SubBlock,Practice,9.204,-1,,,,,0,-1,,,-1,0,0,0,0,,,,0,,,
UNKNOWN,0,-1,SubBlock,Practice,9.224,-1,,,,,0,-1,,,-1,0,0,0,0,,,,0,,,
UNKNOWN,0,-1,SubBlock,Practice,9.238,-1,,,,,0,-1,,,-1,0,0,0,0,,,,0,,,
UNKNOWN,0,-1,SubBlock,Practice,9.254,-1,,,,,0,-1,,,-1,0,0,0,0,,,,0,,,
UNKNOWN,0,-1,SubBlock,Practice,9.27,-1,,,,,0,-1,,,-1,0,0,0,0,,,,0,,,
UNKNOWN,0,-1,SubBlock,Practice,9.287,-1,,,,,0,-1,,,-1,0,0,0,0,,,,0,,,
UNKNOWN,0,-1,SubBlock,Practice,9.304,-1,,,,,0,-1,,,-1,0,0,0,0,,,,0,,,
UNKNOWN,0,-1,SubBlock,Practice,9.32,-1,,,,,0,-1,,,-1,0,0,0,0,,,,0,,,
UNKNOWN,0,-1,SubBlock,Practice,9.337,-1,,,,,0,-1,,,-1,0,0,0,0,,,,0,,,
UNKNOWN,0,-1,SubBlock,Practice,9.354,-1,,,,,0,-1,,,-1,0,0,0,0,,,,0,,,
UNKNOWN,0,-1,SubBlock,Practice,9.37,-1,,,,,0,-1,,,-1,0,0,0,0,,,,0,,,
UNKNOWN,0,-1,SubBlock,Practice,9.387,-1,,,,,0,-1,,,-1,0,0,0,0,,,,0,,,
UNKNOWN,0,-1,SubBlock,Practice,9.404,-1,,,,,0,-1,,,-1,0,0,0,0,,,,0,,,
UNKNOWN,0,-1,SubBlock,Practice,9.42,-1,,,,,0,-1,,,-1,0,0,0,0,,,,0,,,
UNKNOWN,0,-1,SubBlock,Practice,9.438,-1,,,,,0,-1,,,-1,0,0,0,0,,,,0,,,
UNKNOWN,0,-1,SubBlock,Practice,9.504,-1,,,,,0,-1,,,-1,0,0,0,0,,,,0,,,
UNKNOWN,0,-1,SubBlock,Practice,9.604,-1,,,,,0,-1,,,-1,0,0,0,0,,,,0,,,
UNKNOWN,0,-1,SubBlock,Practice,9.704,-1,,,,,0,-1,,,-1,0,0,0,0,,,,0,,,
UNKNOWN,0,-1,SubBlock,Practice,9.804,-1,,,,,0,-1,,,-1,0,0,0,0,,,,0,,,
UNKNOWN,0,-1,SubBlock,Practice,9.904,-1,,,,,0,-1,,,-1,0,0,0,0,,,,0,,,
UNKNOWN,0,-1,SubBlock,Practice,10.004,-1,,,,,0,-1,,,-1,0,0,0,0,,,,0,,,
UNKNOWN,0,-1,SubBlock,Practice,10.104,-1,,,,,0,-1,,,-1,0,0,0,0,,,,0,,,
UNKNOWN,0,-1,SubBlock,Practice,10.203,-1,,,,,0,-1,,,-1,0,0,0,0,,,,0,,,
UNKNOWN,0,-1,SubBlock,Practice,10.303,-1,,,,,0,-1,,,-1,0,0,0,0,,,,0,,,
UNKNOWN,0,-1,SubBlock,Practice,10.404,-1,,,,,0,-1,,,-1,0,0,0,0,,,,0,,,
UNKNOWN,0,-1,SubBlock,Practice,10.503,-1,,,,,0,-1,,,-1,0,0,0,0,,,,0,,,
UNKNOWN,0,-1,SubBlock,Practice,10.605,-1,,,,,0,-1,,,-1,0,0,0,0,,,,0,,,
UNKNOWN,0,-1,SubBlock,Practice,10.705,-1,,,,,0,-1,,,-1,0,0,0,0,,,,0,,,
UNKNOWN,0,-1,SubBlock,Practice,10.805,-1,,,,,0,-1,,,-1,0,0,0,0,,,,0,,,
UNKNOWN,0,-1,SubBlock,Practice,10.905,-1,,,,,0,-1,,,-1,0,0,0,0,,,,0,,,
UNKNOWN,0,-1,SubBlock,Practice,11.003,-1,,,,,0,-1,,,-1,0,0,0,0,,,,0,,,
UNKNOWN,0,-1,SubBlock,Practice,11.104,-1,,,,,0,-1,,,-1,0,0,0,0,,,,0,,,
3,Day,-1,SubBlock,Practice,11.192,-1,,,,,0,-1,,,-1,0,0,0,0,,,,0,,,
3,Day,-1,SubBlock,Practice,11.22,-1,,,,,0,-1,,,-1,0,0,0,0,,,,0,,,
3,Day,-1,SubBlock,Practice,11.303,-1,,,,,0,-1,,,-1,0,0,0,0,,,,0,,,
3,Day,-1,SubBlock,Practice,11.404,-1,,,,,0,-1,,,-1,0,0,0,0,,,,0,,,
3,Day,-1,SubBlock,Practice,11.503,-1,,,,,0,-1,,,-1,0,0,0,0,,,,0,,,
3,Day,-1,SubBlock,Practice,11.604,-1,,,,,0,-1,,,-1,0,0,0,0,,,,0,,,
3,Day,-1,SubBlock,Practice,11.704,-1,,,,,0,-1,,,-1,0,0,0,0,,,,0,,,
3,Day,-1,SubBlock,Practice,11.803,-1,,,,,0,-1,,,-1,0,0,0,0,,,,0,,,
3,Day,-1,SubBlock,Practice,11.905,-1,,,,,0,-1,,,-1,0,0,0,0,,,,0,,,
3,Day,-1,SubBlock,Practice,12.003,-1,,,,,0,-1,,,-1,0,0,0,0,,,,0,,,
3,Day,-1,SubBlock,Practice,12.103,-1,,,,,0,-1,,,-1,0,0,0,0,,,,0,,,
3,Day,-1,SubBlock,Practice,12.204,-1,,,,,0,-1,,,-1,0,0,0,0,,,,0,,,
3,Day,-1,SubBlock,Practice,12.304,-1,,,,,0,-1,,,-1,0,0,0,0,,,,0,,,
3,Day,-1,SubBlock,Practice,12.403,-1,,,,,0,-1,,,-1,0,0,0,0,,,,0,,,
3,Day,-1,SubBlock,Practice,12.504,-1,,,,,0,-1,,,-1,0,0,0,0,,,,0,,,
3,Day,-1,SubBlock,Practice,12.603,-1,,,,,0,-1,,,-1,0,0,0,0,,,,0,,,
3,Day,-1,SubBlock,Practice,12.703,-1,,,,,0,-1,,,-1,0,0,0,0,,,,0,,,
3,Day,-1,SubBlock,Practice,12.803,-1,,,,,0,-1,,,-1,0,0,0,0,,,,0,,,
3,Day,-1,SubBlock,Practice,12.904,-1,,,,,0,-1,,,-1,0,0,0,0,,,,0,,,
3,Day,-1,SubBlock,Practice,13.004,-1,,,,,0,-1,,,-1,0,0,0,0,,,,0,,,
3,Day,-1,SubBlock,Practice,13.105,-1,,,,,0,-1,,,-1,0,0,0,0,,,,0,,,
3,Day,-1,SubBlock,Practice,13.203,-1,,,,,0,-1,,,-1,0,0,0,0,,,,0,,,
3,Day,-1,SubBlock,Practice,13.303,-1,,,,,0,-1,,,-1,0,0,0,0,,,,0,,,
3,Day,-1,SubBlock,Practice,13.403,-1,,,,,0,-1,,,-1,0,0,0,0,,,,0,,,
3,Day,-1,SubBlock,Practice,13.503,-1,,,,,0,-1,,,-1,0,0,0,0,,,,0,,,
3,Day,-1,SubBlock,Practice,13.604,-1,,,,,0,-1,,,-1,0,0,0,0,,,,0,,,
