ParticipantID,Block,TrialIndex,TrialType,Expectancy,SignalColor,MergeSide,TimeAbsolute,TimeRelative,X,Y,Z,LaneDeviation,SpeedMPH,TrialEnded,TrialEndReason,TrialEndTimeAbs,TrialEndTimeRel,SurveyQuestion,SurveyResponse,SurveyRT
123,Day,0,Practice,Expected,Red,Left,8.54,6.04,0.0565,0.8681,39.3895,0.0565,34.32,1,Manual_P,16.46,13.96,What was the color of the REAR turn signal?,AMBER,4.499
123,Day,0,Practice,Expected,Red,Left,8.64,6.14,0.0746,0.8681,41.0197,0.0746,34.99,1,Manual_P,16.46,13.96,What was the color of the REAR turn signal?,AMBER,4.499
123,Day,0,Practice,Expected,Red,Left,8.74,6.24,0.0946,0.8681,42.6499,0.0946,35.65,1,Manual_P,16.46,13.96,What was the color of the REAR turn signal?,AMBER,4.499
123,Day,0,Practice,Expected,Red,Left,8.85,6.35,0.1167,0.8681,44.3383,0.1167,36.32,1,Manual_P,16.46,13.96,What was the color of the REAR turn signal?,AMBER,4.499
123,Day,0,Practice,Expected,Red,Left,8.95,6.45,0.1395,0.8681,46.0080,0.1395,37.09,1,Manual_P,16.46,13.96,What was the color of the REAR turn signal?,AMBER,4.499
123,Day,0,Practice,Expected,Red,Left,9.06,6.56,0.1554,0.8681,47.7632,0.1554,37.74,1,Manual_P,16.46,13.96,What was the color of the REAR turn signal?,AMBER,4.499
123,Day,0,Practice,Expected,Red,Left,9.16,6.66,0.1591,0.8681,49.5559,0.1591,38.40,1,Manual_P,16.46,13.96,What was the color of the REAR turn signal?,AMBER,4.499
123,Day,0,Practice,Expected,Red,Left,9.26,6.76,0.1613,0.8681,51.3393,0.1613,39.07,1,Manual_P,16.46,13.96,What was the color of the REAR turn signal?,AMBER,4.499
123,Day,0,Practice,Expected,Red,Left,9.37,6.87,0.1593,0.8681,53.1202,0.1593,39.73,1,Manual_P,16.46,13.96,What was the color of the REAR turn signal?,AMBER,4.499
123,Day,0,Practice,Expected,Red,Left,9.47,6.97,0.1563,0.8681,54.9543,0.1563,40.49,1,Manual_P,16.46,13.96,What was the color of the REAR turn signal?,AMBER,4.499
123,Day,0,Practice,Expected,Red,Left,9.57,7.07,0.1698,0.8681,56.7818,0.1698,41.14,1,Manual_P,16.46,13.96,What was the color of the REAR turn signal?,AMBER,4.499
123,Day,0,Practice,Expected,Red,Left,9.67,7.17,0.1889,0.8681,58.7343,0.1889,41.80,1,Manual_P,16.46,13.96,What was the color of the REAR turn signal?,AMBER,4.499
123,Day,0,Practice,Expected,Red,Left,9.78,7.28,0.2091,0.8681,60.6645,0.2091,42.46,1,Manual_P,16.46,13.96,What was the color of the REAR turn signal?,AMBER,4.499
123,Day,0,Practice,Expected,Red,Left,9.88,7.38,0.2361,0.8681,62.6791,0.2361,43.12,1,Manual_P,16.46,13.96,What was the color of the REAR turn signal?,AMBER,4.499
123,Day,0,Practice,Expected,Red,Left,9.98,7.48,0.2705,0.8681,64.6907,0.2705,43.90,1,Manual_P,16.46,13.96,What was the color of the REAR turn signal?,AMBER,4.499
