ParticipantID,Block,BlockStartAbs,BlockTimeRel,TrialIndex,Scene,Event,TimeAbs,TrialTimeRel,X,Y,Z,LaneDeviation,SpeedMPH,TrialEnded,TrialEndReason,TrialEndAbs,TrialEndRel,SurveyQuestion,SurveyResponse,SurveyRT
99,Night,7.006,4.795,0,U_Amb_R,Sample,11.802,4.795,0.089,0.868,20.069,,24.207,0,,-1,-1,PostTrialQuestion,,-1
99,Night,7.006,4.897,0,U_Amb_R,Sample,11.903,4.897,0.016,0.868,21.181,,24.97,0,,-1,-1,PostTrialQuestion,,-1
99,Night,7.006,4.994,0,U_Amb_R,Sample,12,4.994,-0.037,0.868,22.279,,25.476,0,,-1,-1,PostTrialQuestion,,-1
99,Night,7.006,5.094,0,U_Amb_R,Sample,12.1,5.094,-0.072,0.868,23.435,,26.123,0,,-1,-1,PostTrialQuestion,,-1
99,Night,7.006,5.199,0,U_Amb_R,Sample,12.206,5.199,-0.108,0.868,24.674,,26.902,0,,-1,-1,PostTrialQuestion,,-1
99,Night,7.006,5.297,0,U_Amb_R,Sample,12.303,5.297,-0.142,0.868,25.86,,27.561,0,,-1,-1,PostTrialQuestion,,-1
99,Night,7.006,5.395,0,U_Amb_R,Sample,12.401,5.395,-0.155,0.868,27.08,,28.071,0,,-1,-1,PostTrialQuestion,,-1
99,Night,7.006,5.499,0,U_Amb_R,Sample,12.505,5.499,-0.138,0.868,28.4,,28.832,0,,-1,-1,PostTrialQuestion,,-1
99,Night,7.006,5.602,0,U_Amb_R,Sample,12.608,5.602,-0.11,0.868,29.744,,29.497,0,,-1,-1,PostTrialQuestion,,-1
99,Night,7.006,5.701,0,U_Amb_R,Sample,12.707,5.701,-0.075,0.868,31.065,,30.161,0,,-1,-1,PostTrialQuestion,,-1
99,Night,7.006,5.797,0,U_Amb_R,Sample,12.803,5.797,-0.031,0.868,32.37,,30.824,0,,-1,-1,PostTrialQuestion,,-1
99,Night,7.006,5.899,0,U_Amb_R,Sample,12.905,5.899,0.025,0.868,33.78,,31.487,0,,-1,-1,PostTrialQuestion,,-1
99,Night,7.006,6.002,0,U_Amb_R,Sample,13.008,6.002,0.091,0.868,35.24,,32.151,0,,-1,-1,PostTrialQuestion,,-1
99,Night,7.006,6.095,0,U_Amb_R,Sample,13.102,6.095,0.158,0.868,36.606,,32.705,0,,-1,-1,PostTrialQuestion,,-1
99,Night,7.006,6.198,0,U_Amb_R,Sample,13.204,6.198,0.237,0.868,38.115,,33.48,0,,-1,-1,PostTrialQuestion,,-1
99,Night,7.006,6.294,0,U_Amb_R,Sample,13.3,6.294,0.316,0.868,39.571,,34.034,0,,-1,-1,PostTrialQuestion,,-1
99,Night,7.006,6.401,0,U_Amb_R,Sample,13.407,6.401,0.408,0.868,41.209,,34.809,0,,-1,-1,PostTrialQuestion,,-1
99,Night,7.006,6.499,0,U_Amb_R,Sample,13.505,6.499,0.496,0.868,42.738,,35.474,0,,-1,-1,PostTrialQuestion,,-1
99,Night,7.006,6.601,0,U_Amb_R,Sample,13.607,6.601,0.587,0.868,44.365,,36.131,0,,-1,-1,PostTrialQuestion,,-1
99,Night,7.006,6.698,0,U_Amb_R,Sample,13.704,6.698,0.657,0.868,45.953,,36.747,0,,-1,-1,PostTrialQuestion,,-1
99,Night,7.006,6.802,0,U_Amb_R,Sample,13.808,6.802,0.705,0.868,47.662,,37.402,0,,-1,-1,PostTrialQuestion,,-1
99,Night,7.006,6.9,0,U_Amb_R,Sample,13.906,6.9,0.745,0.868,49.318,,38.065,0,,-1,-1,PostTrialQuestion,,-1
99,Night,7.006,6.996,0,U_Amb_R,Sample,14.002,6.996,0.776,0.868,50.971,,38.615,0,,-1,-1,PostTrialQuestion,,-1
99,Night,7.006,7.099,0,U_Amb_R,Sample,14.106,7.099,0.798,0.868,52.771,,39.384,0,,-1,-1,PostTrialQuestion,,-1
99,Night,7.006,7.197,0,U_Amb_R,Sample,14.203,7.197,0.806,0.868,54.503,,40.038,0,,-1,-1,PostTrialQuestion,,-1
99,Night,7.006,7.296,0,U_Amb_R,Sample,14.302,7.296,0.795,0.868,56.293,,40.583,0,,-1,-1,PostTrialQuestion,,-1
99,Night,7.006,7.399,0,U_Amb_R,Sample,14.406,7.399,0.773,0.868,58.177,,41.354,0,,-1,-1,PostTrialQuestion,,-1
99,Night,7.006,7.499,0,U_Amb_R,Sample,14.505,7.499,0.742,0.868,60.025,,42.014,0,,-1,-1,PostTrialQuestion,,-1
99,Night,7.006,7.598,0,U_Amb_R,Sample,14.604,7.598,0.706,0.868,61.906,,42.67,0,,-1,-1,PostTrialQuestion,,-1
99,Night,7.006,7.694,0,U_Amb_R,Sample,14.701,7.694,0.676,0.868,63.765,,43.219,0,,-1,-1,PostTrialQuestion,,-1
99,Night,7.006,7.794,0,U_Amb_R,Sample,14.8,7.794,0.641,0.868,65.71,,43.881,0,,-1,-1,PostTrialQuestion,,-1
99,Night,7.006,7.9,0,U_Amb_R,Sample,14.906,7.9,0.592,0.868,67.795,,44.636,0,,-1,-1,PostTrialQuestion,,-1
99,Night,7.006,7.999,0,U_Amb_R,Sample,15.005,7.999,0.533,0.868,69.778,,45.293,0,,-1,-1,PostTrialQuestion,,-1
99,Night,7.006,8.099,0,U_Amb_R,Sample,15.106,8.099,0.484,0.868,71.827,,45.932,0,,-1,-1,PostTrialQuestion,,-1
99,Night,7.006,8.194,0,U_Amb_R,Sample,15.201,8.194,0.45,0.868,73.797,,46.44,0,,-1,-1,PostTrialQuestion,,-1
99,Night,7.006,8.295,0,U_Amb_R,TrialEnd,15.301,8.295,0.417,0.868,75.692,,46.898,1,Unknown,15.301,8.295,PostTrialQuestion,,-1
99,Night,7.006,8.295,0,U_Amb_R,Sample,15.301,8.295,0.417,0.868,75.692,,46.898,1,Unknown,15.301,8.295,PostTrialQuestion,,-1
99,Night,7.006,8.397,0,U_Amb_R,Sample,15.403,8.397,0.417,0.868,75.692,,46.898,1,Unknown,15.301,8.295,PostTrialQuestion,,-1
99,Night,7.006,8.495,0,U_Amb_R,Sample,15.501,8.495,0.417,0.868,75.692,,46.898,1,Unknown,15.301,8.295,PostTrialQuestion,,-1
99,Night,7.006,8.598,0,U_Amb_R,Sample,15.604,8.598,0.417,0.868,75.692,,46.898,1,Unknown,15.301,8.295,PostTrialQuestion,,-1
99,Night,7.006,8.696,0,U_Amb_R,Sample,15.702,8.696,0.417,0.868,75.692,,46.898,1,Unknown,15.301,8.295,PostTrialQuestion,,-1
99,Night,7.006,8.799,0,U_Amb_R,Sample,15.806,8.799,0.417,0.868,75.692,,46.898,1,Unknown,15.301,8.295,PostTrialQuestion,,-1
99,Night,7.006,8.9,0,U_Amb_R,Sample,15.906,8.9,0.417,0.868,75.692,,46.898,1,Unknown,15.301,8.295,PostTrialQuestion,,-1
99,Night,7.006,8.996,0,U_Amb_R,Sample,16.002,8.996,0.417,0.868,75.692,,46.898,1,Unknown,15.301,8.295,PostTrialQuestion,,-1
99,Night,7.006,9.095,0,U_Amb_R,Sample,16.101,9.095,0.417,0.868,75.692,,46.898,1,Unknown,15.301,8.295,PostTrialQuestion,,-1
99,Night,7.006,9.2,0,U_Amb_R,Sample,16.206,9.2,0.417,0.868,75.692,,46.898,1,Unknown,15.301,8.295,PostTrialQuestion,,-1
99,Night,7.006,9.296,0,U_Amb_R,Sample,16.303,9.296,0.417,0.868,75.692,,46.898,1,Unknown,15.301,8.295,PostTrialQuestion,,-1
99,Night,7.006,9.397,0,U_Amb_R,Sample,16.403,9.397,0.417,0.868,75.692,,46.898,1,Unknown,15.301,8.295,PostTrialQuestion,,-1
99,Night,7.006,9.496,0,U_Amb_R,Sample,16.503,9.496,0.417,0.868,75.692,,46.898,1,Unknown,15.301,8.295,PostTrialQuestion,,-1
99,Night,7.006,9.598,0,U_Amb_R,Sample,16.604,9.598,0.417,0.868,75.692,,46.898,1,Unknown,15.301,8.295,PostTrialQuestion,,-1
99,Night,7.006,9.615,0,U_Amb_R,SurveyResponse,16.621,9.615,0.417,0.868,75.692,,46.898,1,Unknown,15.301,8.295,PostTrialQuestion,Red,1.321
99,Night,7.006,9.696,0,U_Amb_R,Sample,16.702,9.696,0.417,0.868,75.692,,46.898,1,Unknown,15.301,8.295,PostTrialQuestion,Red,1.321
99,Night,7.006,9.797,0,U_Amb_R,Sample,16.803,9.797,0.417,0.868,75.692,,46.898,1,Unknown,15.301,8.295,PostTrialQuestion,Red,1.321
99,Night,7.006,9.895,0,U_Amb_R,Sample,16.902,9.895,0.417,0.868,75.692,,46.898,1,Unknown,15.301,8.295,PostTrialQuestion,Red,1.321
99,Night,7.006,9.999,0,U_Amb_R,Sample,17.005,9.999,0.417,0.868,75.692,,46.898,1,Unknown,15.301,8.295,PostTrialQuestion,Red,1.321
99,Night,7.006,10.098,0,U_Amb_R,Sample,17.104,10.098,0.417,0.868,75.692,,46.898,1,Unknown,15.301,8.295,PostTrialQuestion,Red,1.321
99,Night,7.006,10.195,0,U_Amb_R,Sample,17.201,10.195,0.417,0.868,75.692,,46.898,1,Unknown,15.301,8.295,PostTrialQuestion,Red,1.321
99,Night,7.006,10.295,0,U_Amb_R,Sample,17.301,10.295,0.417,0.868,75.692,,46.898,1,Unknown,15.301,8.295,PostTrialQuestion,Red,1.321
99,Night,7.006,10.397,0,U_Amb_R,Sample,17.403,10.397,0.417,0.868,75.692,,46.898,1,Unknown,15.301,8.295,PostTrialQuestion,Red,1.321
99,Night,7.006,10.496,0,U_Amb_R,Sample,17.502,10.496,0.417,0.868,75.692,,46.898,1,Unknown,15.301,8.295,PostTrialQuestion,Red,1.321
99,Night,7.006,10.6,0,U_Amb_R,Sample,17.606,10.6,0.417,0.868,75.692,,46.898,1,Unknown,15.301,8.295,PostTrialQuestion,Red,1.321
99,Night,7.006,10.699,0,U_Amb_R,Sample,17.706,10.699,0.417,0.868,75.692,,46.898,1,Unknown,15.301,8.295,PostTrialQuestion,Red,1.321
99,Night,7.006,10.8,0,U_Amb_R,Sample,17.807,10.8,0.417,0.868,75.692,,46.898,1,Unknown,15.301,8.295,PostTrialQuestion,Red,1.321
99,Night,7.006,10.897,0,U_Amb_R,Sample,17.903,10.897,0.417,0.868,75.692,,46.898,1,Unknown,15.301,8.295,PostTrialQuestion,Red,1.321
99,Night,7.006,10.996,0,U_Amb_R,Sample,18.002,10.996,0.417,0.868,75.692,,46.898,1,Unknown,15.301,8.295,PostTrialQuestion,Red,1.321
99,Night,7.006,11.099,0,U_Amb_R,Sample,18.105,11.099,0.417,0.868,75.692,,46.898,1,Unknown,15.301,8.295,PostTrialQuestion,Red,1.321
99,Night,7.006,11.196,0,U_Amb_R,Sample,18.202,11.196,0.417,0.868,75.692,,46.898,1,Unknown,15.301,8.295,PostTrialQuestion,Red,1.321
99,Night,7.006,11.299,0,U_Amb_R,Sample,18.305,11.299,0.417,0.868,75.692,,46.898,1,Unknown,15.301,8.295,PostTrialQuestion,Red,1.321
99,Night,7.006,11.396,0,U_Amb_R,Sample,18.402,11.396,0.417,0.868,75.692,,46.898,1,Unknown,15.301,8.295,PostTrialQuestion,Red,1.321
